Time,Gonio
3950.0,-6.031494
3960.0,-5.949097
3970.0,-6.580811
3980.0,-5.784302
3990.0,-6.086426
4000.0,-5.592041
4010.0,-5.646973
4020.0,-6.086426
4030.0,-5.180054
4040.0,-5.839233
4050.0,-5.5645750000000005
4060.0,-5.289917
4070.0,-5.015259
4080.0,-4.932861
4090.0,-4.87793
4100.0,-4.438477
4110.0,-4.685669
4120.0,-4.822998
4130.0,-4.520874
4140.0,-5.289917
4150.0,-4.630737
4160.0,-4.328613
4170.0,-4.630737
4180.0,-4.053955
4190.0,-4.603271
4200.0,-4.136353
4210.0,-4.191284
4220.0,-4.658203
4230.0,-3.696899
4240.0,-4.603271
4250.0,-4.630737
4260.0,-4.081421
4270.0,-3.944092
4280.0,-3.092651
4290.0,-4.383545
4300.0,-3.9028929999999997
4310.0,-3.422241
4320.0,-2.488403
4330.0,-1.884155
4340.0,-2.103882
4350.0,-1.444702
4360.0,-1.005249
4370.0,-1.774292
4380.0,-0.4284668
4390.0,-1.664429
4400.0,-0.401001
4410.0,-0.4559326
4420.0,-1.060181
4430.0,-0.5383301
4440.0,-1.252441
4450.0,-0.3735352
4460.0,-0.09887695
4470.0,-1.060181
4480.0,-0.2087402
4490.0,-0.5108643
4500.0,0.368042
4510.0,0.7250977
4520.0,0.2307129
4530.0,1.274414
4540.0,0.670166
4550.0,1.137085
4560.0,0.9173584333333333
4570.0,0.6976318666666667
4580.0,0.4779053
4590.0,-0.2362061
4600.0,0.6152344
4610.0,0.4779053
4620.0,0.2856445
4630.0,0.6152344
4640.0,0.2032471
4650.0,1.137085
4660.0,0.670166
4670.0,0.6152344
4680.0,1.027222
4690.0,-0.04394531
4700.0,0.9448242
4710.0,0.8624268
4720.0,0.2856445
4730.0,0.7800293
4740.0,-0.1812744
4750.0,0.4229736
4760.0,0.5603027
4770.0,-0.3735352
4780.0,0.2856445
4790.0,-0.8679199
4800.0,-1.252441
4810.0,-0.9503174
4820.0,-2.103882
4830.0,-2.351074
4840.0,-3.614502
4850.0,-3.147583
4860.0,-4.740601
4870.0,-5.701904
4880.0,-4.740601
4890.0,-6.525879
4900.0,-6.168823
4910.0,-7.075195
4920.0,-7.926636
4930.0,-8.063965
4940.0,-9.025269
4950.0,-8.393555
4960.0,-9.602051
4970.0,-10.17883
4980.0,-9.437256
4990.0,-11.08521
5000.0,-10.2063
5010.0,-10.72815
5020.0,-11.30493
5030.0,-11.27747
5040.0,-12.48596
5050.0,-11.93665
5060.0,-11.85425
5070.0,-13.06274
5080.0,-12.54089
5090.0,-13.72192
5100.0,-13.255
5110.0,-13.55713
5120.0,-13.88672
5130.0,-13.74939
5140.0,-15.61707
5150.0,-14.87549
5160.0,-15.72693
5170.0,-16.30371
5180.0,-15.28748
5190.0,-16.5509
5200.0,-16.22131
5210.0,-15.89172
5220.0,-17.45728
5230.0,-16.96289
5240.0,-18.17139
5250.0,-17.5946
5260.0,-18.11646
5270.0,-18.69324
5280.0,-18.17139
5290.0,-19.62708
5300.0,-19.35242
5310.0,-20.61584
5320.0,-20.56091
5330.0,-20.67078
5340.0,-22.59338
5350.0,-21.63208
5360.0,-22.34619
5370.0,-22.89551
5380.0,-23.38989
5390.0,-24.2688
5400.0,-24.43359
5410.0,-24.76318
5420.0,-26.19141
5430.0,-25.20264
5440.0,-27.34497
5450.0,-26.74072
5460.0,-27.81189
5470.0,-28.22388
5480.0,-28.49854
5490.0,-29.51477
5500.0,-29.37744
5510.0,-29.240109999999998
5520.0,-29.10278
5530.0,-29.70703
5540.0,-30.8606
5550.0,-31.19019
5560.0,-31.68457
5570.0,-32.12402
5580.0,-31.71204
5590.0,-33.71704
5600.0,-33.16772
5610.0,-33.79944
5620.0,-34.67834
5630.0,-33.66211
5640.0,-34.43115
5650.0,-33.8269
5660.0,-34.37622
5670.0,-35.0354
5680.0,-34.10156
5690.0,-35.69458
5700.0,-34.59595
5710.0,-35.55725
5720.0,-35.06287
5730.0,-34.98047
5740.0,-35.55725
5750.0,-35.0354
5760.0,-35.47485
5770.0,-36.2439
5780.0,-35.09033
5790.0,-36.35376
5800.0,-35.61218
5810.0,-36.71082
5820.0,-37.2052
5830.0,-36.38123
5840.0,-37.17773
5850.0,-36.90308
5860.0,-37.39746
5870.0,-37.53479
5880.0,-37.23267
5890.0,-38.38623
5900.0,-37.45239
5910.0,-38.22144
5920.0,-39.04541
5930.0,-38.08411
5940.0,-39.12781
5950.0,-38.49609
5960.0,-39.21021
5970.0,-39.26514
5980.0,-39.53979
5990.0,-40.25391
6000.0,-39.48486
6010.0,-39.95178
6020.0,-39.64966
6030.0,-39.78699
6040.0,-40.66589
6050.0,-39.92432
6060.0,-40.3363
6070.0,-40.22644
6080.0,-40.36377
6090.0,-40.4187
6100.0,-40.06165
6110.0,-41.05042
6120.0,-40.88562
6130.0,-40.5835
6140.0,-41.35254
6150.0,-40.14404
6160.0,-40.80322
6170.0,-41.07788
6180.0,-40.85815
6190.0,-41.79199
6200.0,-41.13281
6210.0,-41.6272
6220.0,-42.36877
6230.0,-41.6272
6240.0,-42.31384
6250.0,-41.81946
6260.0,-42.23145
6270.0,-42.45117
6280.0,-42.17651
6290.0,-43.35754
6300.0,-42.34131
6310.0,-42.91809
6320.0,-42.97302
6330.0,-43.33008
6340.0,-43.68713
6350.0,-42.6709
6360.0,-42.86316
6370.0,-43.24768
6380.0,-43.261415
6390.0,-43.27515
6400.0,-43.74207
6410.0,-43.13782
6420.0,-43.38501
6430.0,-42.23145
6440.0,-43.43994
6450.0,-42.5061
6460.0,-43.33008
6470.0,-42.5061
6480.0,-41.95679
6490.0,-42.91809
6500.0,-41.95679
6510.0,-43.00049
6520.0,-42.78076
6530.0,-41.84692
6540.0,-42.83569
6550.0,-42.03918
6560.0,-42.36877
6570.0,-42.83569
6580.0,-42.09412
6590.0,-42.5885
6600.0,-42.14905
6610.0,-42.53357
6620.0,-42.5885
6630.0,-42.36877
6640.0,-42.78076
6650.0,-41.40747
6660.0,-42.06665
6670.0,-41.90186
6680.0,-41.10535
6690.0,-41.43494
6700.0,-40.52856
6710.0,-41.57227
6720.0,-40.77576
6730.0,-40.03418
6740.0,-40.94055
6750.0,-39.375
6760.0,-39.64966
6770.0,-39.64966
6780.0,-38.88062
6790.0,-39.01794
6800.0,-38.2489
6810.0,-37.89185
6820.0,-37.06787
6830.0,-36.93054
6840.0,-37.67212
6850.0,-36.18896
6860.0,-36.21643
6870.0,-35.39246
6880.0,-34.76074
6890.0,-35.41992
6900.0,-34.37622
6910.0,-33.85437
6920.0,-33.9093
6930.0,-33.05786
6940.0,-33.71704
6950.0,-32.64587
6960.0,-32.39868
6970.0,-32.37122
6980.0,-31.27258
6990.0,-31.51978
7000.0,-30.88806
7010.0,-31.02539
7020.0,-30.97046
7030.0,-30.44861
7040.0,-31.10779
7050.0,-29.4873
7060.0,-29.78943
7070.0,-29.84436
7080.0,-29.07532
7090.0,-29.62463
7100.0,-28.41614
7110.0,-29.37744
7120.0,-28.25134
7130.0,-27.61963
7140.0,-28.14148
7150.0,-27.67456
7160.0,-27.34497
7170.0,-27.53723
7180.0,-27.07946666666667
7190.0,-26.621703333333333
7200.0,-26.16394
7210.0,-25.88928
7220.0,-24.81812
7230.0,-23.60962
7240.0,-24.57092
7250.0,-23.33496
7260.0,-23.25256
7270.0,-23.00537
7280.0,-21.57715
7290.0,-22.92297
7300.0,-21.00037
7310.0,-21.46729
7320.0,-20.91797
7330.0,-20.53345
7340.0,-20.72571
7350.0,-20.14893
7360.0,-19.73694
7370.0,-19.54468
7380.0,-18.66577
7390.0,-18.85803
7400.0,-18.36365
7410.0,-19.02283
7420.0,-18.11646
7430.0,-17.73193
7440.0,-18.25378
7450.0,-17.15515
7460.0,-18.14392
7470.0,-17.04529
7480.0,-17.10022
7490.0,-17.07275
7500.0,-16.24878
7510.0,-16.99036
7520.0,-16.38611
7530.0,-16.05652
7540.0,-16.27625
7550.0,-15.17761
7560.0,-15.36987
7570.0,-14.27124
7580.0,-14.43604
7590.0,-14.5459
7600.0,-13.77686
7610.0,-14.05151
7620.0,-13.11768
7630.0,-12.95288
7640.0,-13.63953
7650.0,-12.07397
7660.0,-12.84302
7670.0,-12.01904
7680.0,-11.35986
7690.0,-12.23877
7700.0,-10.89294
7710.0,-11.14014
7720.0,-10.50842
7730.0,-10.37109
7740.0,-10.15137
7750.0,-9.025269
7760.0,-9.656982
7770.0,-8.530884
7780.0,-8.036499
7790.0,-8.448486
7800.0,-7.130127
7810.0,-8.036499
7820.0,-6.992798
7830.0,-7.102661
7840.0,-7.102661
7850.0,-6.251221
7860.0,-6.663208
7870.0,-5.894165
7880.0,-6.38855
7890.0,-5.921631
7900.0,-5.180054
7910.0,-5.811768
7920.0,-4.685669
7930.0,-4.658203
7940.0,-5.427246
7950.0,-4.575806
7960.0,-4.822998
7970.0,-3.806763
7980.0,-3.477173
7990.0,-4.383545
8000.0,-2.680664
